index,freq,nrg_bal,siec,unit,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
600128,A,NRG_OIL_NG_E,E7000,GWH,FR,4408.0,4502.0,4352.0,4420.0,4539.0,4578.0,4767.0,4888.0,4883.0,4389.0,4408.0,728.0,808.0,687.0,638.0,589.0,382.0,389.0,400.0,503.0,526.0,520.874,526.37,475.521,371.491,411.54,373.857,383.049,371.242,334.035,311.811,272.871,267.369,288.063,205.67
600169,A,NRG_OIL_NG_E,E7000,KTOE,FR,379.02,387.102,374.205,380.052,390.284,393.637,409.888,420.292,419.862,377.386,379.02,62.597,69.475,59.071,54.858,50.645,32.846,33.448,34.394,43.25,45.228,44.787,45.26,40.887,31.942,35.386,32.146,32.936,31.921,28.722,26.811,23.463,22.99,24.769,17.684
600210,A,NRG_OIL_NG_E,E7000,TJ,FR,15868.8,16207.2,15667.2,15912.0,16340.4,16480.8,17161.2,17596.8,17578.8,15800.4,15868.8,2620.8,2908.8,2473.2,2296.8,2120.4,1375.2,1400.4,1440.0,1810.8,1893.6,1875.146,1894.932,1711.876,1337.368,1481.544,1345.885,1378.976,1336.471,1202.526,1122.52,982.336,962.529,1037.029,740.411
608906,A,NRG_PF_E,E7000,GWH,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608947,A,NRG_PF_E,E7000,KTOE,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608988,A,NRG_PF_E,E7000,TJ,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617663,A,NRG_PR_E,E7000,GWH,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439.0,3178.0,3672.0,3558.0,3474.0,3632.0,3656.0,4543.0,4411.0,3251.0,3479.531,2963.714,2798.577,3021.298,2925.497,3082.753,2741.854,2677.966,2535.791,2341.354,2044.332,2034.902,2336.182,2537.404
617704,A,NRG_PR_E,E7000,KTOE,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.701,273.259,315.735,305.933,298.71,312.296,314.359,390.628,379.278,279.536,299.186,254.834,240.634,259.785,251.547,265.069,235.757,230.264,218.039,201.32,175.781,174.97,200.875,218.177
617745,A,NRG_PR_E,E7000,TJ,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12380.4,11440.8,13219.2,12808.8,12506.4,13075.2,13161.6,16354.8,15879.6,11703.6,12526.312,10669.37,10074.877,10876.673,10531.789,11097.911,9870.674,9640.678,9128.848,8428.874,7359.595,7325.646,8410.254,9134.654
626764,A,PEC_EED,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626802,A,PEC_EED,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626840,A,PEC_EED,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635098,A,PPRD,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635138,A,PPRD,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635178,A,PPRD,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643852,A,RCV_RCY,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643892,A,RCV_RCY,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643932,A,RCV_RCY,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652622,A,STATDIFF,E7000,GWH,FR,-1793.412,-2234.01,-2339.501,-2203.57,-2739.584,-2007.418,-1879.557,-2130.947,-1985.119,-525.985,-2991.478,-2624.506,-2159.968,-2475.444,-2479.428,-2149.08,-1877.439,-2480.195,-2511.356,-5082.738,-2329.442,7688.715,4879.903,4678.208,5542.197,5048.52,3416.935,3809.475,3187.736,4041.6,1846.627,-47.385,1643.762,115.355,671.093
652663,A,STATDIFF,E7000,KTOE,FR,-154.206,-192.09,-201.161,-189.473,-235.562,-172.607,-161.613,-183.228,-170.69,-45.227,-257.221,-225.667,-185.724,-212.85,-213.192,-184.788,-161.431,-213.258,-215.938,-437.037,-200.296,661.111,419.596,402.253,476.543,434.095,293.804,327.556,274.096,347.515,158.781,-4.074,141.338,9.919,57.704
652704,A,STATDIFF,E7000,TJ,FR,-6456.281,-8042.436,-8422.204,-7932.852,-9862.501,-7226.705,-6766.406,-7671.41,-7146.43,-1893.545,-10769.321,-9448.221,-7775.886,-8911.597,-8925.942,-7736.689,-6758.782,-8928.703,-9040.883,-18297.855,-8385.992,27679.375,17567.652,16841.549,19951.909,18174.673,12300.966,13714.109,11475.851,14549.762,6647.857,-170.586,5917.544,415.276,2415.934
661474,A,STK_CHG,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661514,A,STK_CHG,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661554,A,STK_CHG,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670300,A,TI_BF_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670340,A,TI_BF_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670380,A,TI_BF_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679102,A,TI_BKBPB_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679142,A,TI_BKBPB_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679182,A,TI_BKBPB_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687811,A,TI_BNG_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687851,A,TI_BNG_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687891,A,TI_BNG_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696595,A,TI_CL_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696635,A,TI_CL_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696675,A,TI_CL_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
